,player_name,player_country,batsman_batting_style,batsman_playing_role_x,batsman_bowling_style,batsman_playing_role_y
3995,Fionn Hand Career Stats,Ireland,Right hand Bat,Bowling Allrounder,Right arm Medium,Bowling Allrounder
4020,Josh Little Career Stats,Ireland,Right hand Bat,Bowler,Left arm Fast medium,Bowler
4045,Hasan Mahmud Career Stats,Bangladesh,Right hand Bat,Bowler,Right arm Fast medium,Bowler
4070,Haider Ali Career Stats,Pakistan,Right hand Bat,NotAvailable,Middle order Batter,NotAvailable
4095,Asif Ali Career Stats,Pakistan,Right hand Bat,Middle order Batter,Right arm Offbreak,Middle order Batter
4120,Simi Singh Career Stats,Ireland,Right hand Bat,Bowling Allrounder,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder
4145,Hazratullah Zazai Career Stats,Afghanistan,Left hand Bat,Opening Batter,Slow Left arm Orthodox,Opening Batter
4170,Fareed Ahmad Career Stats,Afghanistan,Farid Malik,Left arm Fast medium,Left hand Bat,Left arm Fast medium
4195,Fazalhaq Farooqi Career Stats,Afghanistan,Right hand Bat,Bowler,Left arm Fast medium,Bowler
4220,George Munsey Career Stats,Scotland,Left hand Bat,Opening Batter,Right arm Medium fast,Opening Batter
4245,Michael Jones Career Stats,Scotland,Right hand Bat,Top order Batter,Right arm Offbreak,Top order Batter
4270,Matthew Cross Career Stats,Scotland,Right hand Bat,Wicketkeeper Batter,Wicketkeeper,Wicketkeeper Batter
4295,Richie Berrington Career Stats,Scotland,Right hand Bat,Top order Batter,Right arm Medium fast,Top order Batter
4320,Calum MacLeod Career Stats,Scotland,"Cloudy, Highlander, Scot","Right arm Medium fast, Right arm Offbreak",Right hand Bat,"Right arm Medium fast, Right arm Offbreak"
4345,Michael Leask Career Stats,Scotland,Right hand Bat,Allrounder,Right arm Offbreak,Allrounder
4370,Chris Greaves Career Stats,Scotland,Right hand Bat,Bowler,Legbreak,Bowler
4386,Josh Davey Career Stats,Scotland,Wavey,Right arm Medium fast,Right hand Bat,Right arm Medium fast
4411,Kyle Mayers Career Stats,Indies,Left hand Bat,Batting Allrounder,Right arm Medium,Batting Allrounder
4447,Johnson Charles Career Stats,Indies,Right hand Bat,Wicketkeeper Batter,Wicketkeeper,Wicketkeeper Batter
4472,Evin Lewis Career Stats,Indies,Left hand Bat,NotAvailable,Opening Batter,NotAvailable
4497,Brandon King Career Stats,Indies,Right hand Bat,NotAvailable,Top order Batter,NotAvailable
4522,Nicholas Pooran Career Stats,Indies,Left hand Bat,Wicketkeeper,Right arm Offbreak,Wicketkeeper
4547,Rovman Powell Career Stats,Indies,Right hand Bat,Middle order Batter,Right arm Medium fast,Middle order Batter
4572,Odean Smith Career Stats,Indies,Right hand Bat,Bowling Allrounder,Right arm Fast medium,Bowling Allrounder
4597,Muhammad Waseem Career Stats,U.A.E.,Right hand Bat,Opening Batter,Right arm Medium,Opening Batter
4613,Vriitya Aravind Career Stats,U.A.E.,Right hand Bat,NotAvailable,Wicketkeeper Batter,NotAvailable
4629,Chundangapoyil Rizwan Career Stats,U.A.E.,Right hand Bat,Middle order Batter,Legbreak Googly,Middle order Batter
4645,Alishan Sharafu Career Stats,U.A.E.,Right hand Bat,Opening Batter,Right arm Medium,Opening Batter
4661,Basil Hameed Career Stats,U.A.E.,Right hand Bat,Middle order Batter,Right arm Offbreak,Middle order Batter
4677,Shamarh Brooks Career Stats,Indies,Right hand Bat,Top order Batter,Legbreak,Top order Batter
4713,Jason Holder Career Stats,Indies,Right hand Bat,Bowling Allrounder,Right arm Medium fast,Bowling Allrounder
4749,Akeal Hosein Career Stats,Indies,Left hand Bat,Bowler,Slow Left arm Orthodox,Bowler
4774,Pramod Madushan Career Stats,Lanka,Right hand Bat,Bowler,Right arm Medium fast,Bowler
