Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10w,player_name,player_country,batsman_bowling_style,batsman_playing_role
Tests,28,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Rizwan Career Stats,Pakistan,Wicketkeeper,Wicketkeeper Batter
ODIs,74,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Rizwan Career Stats,Pakistan,Wicketkeeper,Wicketkeeper Batter
T20Is,85,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Rizwan Career Stats,Pakistan,Wicketkeeper,Wicketkeeper Batter
FC,113,12,237,136,4,2/10,2/10,34.00,3.44,59.2,0,0,0,Mohammad Rizwan Career Stats,Pakistan,Wicketkeeper,Wicketkeeper Batter
List A,173,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Rizwan Career Stats,Pakistan,Wicketkeeper,Wicketkeeper Batter
T20s,238,1,12,22,1,1/22,1/22,22.00,11.00,12.0,0,0,0,Mohammad Rizwan Career Stats,Pakistan,Wicketkeeper,Wicketkeeper Batter
Tests,50,8,90,42,2,1/1,1/2,21.00,2.80,45.0,0,0,0,Babar Azam Career Stats,Pakistan,Right arm Offbreak,Batter
ODIs,117,-,-,-,-,-,-,-,-,-,-,-,-,Babar Azam Career Stats,Pakistan,Right arm Offbreak,Batter
T20Is,104,-,-,-,-,-,-,-,-,-,-,-,-,Babar Azam Career Stats,Pakistan,Right arm Offbreak,Batter
FC,87,28,816,466,7,1/1,1/2,66.57,3.42,116.5,0,0,0,Babar Azam Career Stats,Pakistan,Right arm Offbreak,Batter
List A,181,29,633,555,12,2/20,2/20,46.25,5.26,52.7,0,0,0,Babar Azam Career Stats,Pakistan,Right arm Offbreak,Batter
T20s,268,5,78,85,4,2/20,2/20,21.25,6.53,19.5,0,0,0,Babar Azam Career Stats,Pakistan,Right arm Offbreak,Batter
ODIs,6,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Haris Career Stats,Pakistan,Right arm Offbreak,Occasional Wicketkeeper
T20Is,9,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Haris Career Stats,Pakistan,Right arm Offbreak,Occasional Wicketkeeper
FC,5,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Haris Career Stats,Pakistan,Right arm Offbreak,Occasional Wicketkeeper
List A,42,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Haris Career Stats,Pakistan,Right arm Offbreak,Occasional Wicketkeeper
T20s,66,-,-,-,-,-,-,-,-,-,-,-,-,Mohammad Haris Career Stats,Pakistan,Right arm Offbreak,Occasional Wicketkeeper
Tests,31,10,144,92,2,1/6,1/6,46.00,3.83,72.0,0,0,0,Shan Masood Career Stats,Pakistan,Shaani,Left hand Bat
ODIs,9,-,-,-,-,-,-,-,-,-,-,-,-,Shan Masood Career Stats,Pakistan,Shaani,Left hand Bat
T20Is,19,-,-,-,-,-,-,-,-,-,-,-,-,Shan Masood Career Stats,Pakistan,Shaani,Left hand Bat
FC,161,37,875,607,8,2/52,2/52,75.87,4.16,109.3,0,0,0,Shan Masood Career Stats,Pakistan,Shaani,Left hand Bat
List A,119,2,24,17,2,2/0,2/0,8.50,4.25,12.0,0,0,0,Shan Masood Career Stats,Pakistan,Shaani,Left hand Bat
T20s,158,-,-,-,-,-,-,-,-,-,-,-,-,Shan Masood Career Stats,Pakistan,Shaani,Left hand Bat
Tests,4,5,206,161,1,1/1,1/13,161.0,4.68,206.0,0,0,0,Iftikhar Ahmed Career Stats,Pakistan,Right arm Offbreak,Middle order Batter
ODIs,28,22,796,742,16,5/40,5/40,46.37,5.59,49.7,0,1,0,Iftikhar Ahmed Career Stats,Pakistan,Right arm Offbreak,Middle order Batter
T20Is,49,18,223,260,4,1/7,1/7,65.0,6.99,55.7,0,0,0,Iftikhar Ahmed Career Stats,Pakistan,Right arm Offbreak,Middle order Batter
FC,75,96,5090,2250,76,6/39,7/44,29.6,2.65,66.9,0,1,0,Iftikhar Ahmed Career Stats,Pakistan,Right arm Offbreak,Middle order Batter
List A,121,94,3216,2970,58,5/40,5/40,51.2,5.54,55.4,1,1,0,Iftikhar Ahmed Career Stats,Pakistan,Right arm Offbreak,Middle order Batter
T20s,237,119,1528,1831,64,3/5,3/5,28.6,7.18,23.8,0,0,0,Iftikhar Ahmed Career Stats,Pakistan,Right arm Offbreak,Middle order Batter
Tests,6,11,954,513,14,3/31,4/80,36.64,3.22,68.1,0,0,0,Shadab Khan Career Stats,Pakistan,Legbreak,Allrounder
ODIs,70,67,3388,2960,85,4/27,4/27,34.82,5.24,39.8,5,0,0,Shadab Khan Career Stats,Pakistan,Legbreak,Allrounder
T20Is,92,88,1951,2301,104,4/8,4/8,22.12,7.07,18.7,3,0,0,Shadab Khan Career Stats,Pakistan,Legbreak,Allrounder
FC,17,29,3077,1753,68,6/77,10/157,25.77,3.41,45.2,6,2,1,Shadab Khan Career Stats,Pakistan,Legbreak,Allrounder
List A,85,82,4102,3631,108,4/27,4/27,33.62,5.31,37.9,6,0,0,Shadab Khan Career Stats,Pakistan,Legbreak,Allrounder
T20s,262,253,5539,6846,292,5/28,5/28,23.44,7.41,18.9,8,1,0,Shadab Khan Career Stats,Pakistan,Legbreak,Allrounder
Tests,6,12,959,496,16,5/88,6/106,31.0,3.1,59.9,0,1,0,Mohammad Nawaz Career Stats,Pakistan,Slow Left arm Orthodox,Allrounder
ODIs,37,37,1773,1507,42,4/19,4/19,35.88,5.09,42.2,3,0,0,Mohammad Nawaz Career Stats,Pakistan,Slow Left arm Orthodox,Allrounder
T20Is,57,54,1030,1258,47,3/5,3/5,26.76,7.32,21.9,0,0,0,Mohammad Nawaz Career Stats,Pakistan,Slow Left arm Orthodox,Allrounder
FC,56,85,5903,3081,104,7/31,11/93,29.62,3.13,56.7,4,4,1,Mohammad Nawaz Career Stats,Pakistan,Slow Left arm Orthodox,Allrounder
List A,110,106,5094,4327,124,4/19,4/19,34.89,5.09,41.0,5,0,0,Mohammad Nawaz Career Stats,Pakistan,Slow Left arm Orthodox,Allrounder
T20s,237,222,4201,5317,186,5/24,5/24,28.58,7.59,22.5,2,1,0,Mohammad Nawaz Career Stats,Pakistan,Slow Left arm Orthodox,Allrounder
Tests,2,4,358,231,2,1/71,1/111,115.5,3.87,179.0,0,0,0,Mohammad Wasim Career Stats,Pakistan,Right arm Fast medium,Bowling Allrounder
ODIs,20,20,962,856,34,4/36,4/36,25.17,5.33,28.2,1,0,0,Mohammad Wasim Career Stats,Pakistan,Right arm Fast medium,Bowling Allrounder
T20Is,27,27,511,692,35,4/24,4/24,19.77,8.12,14.6,2,0,0,Mohammad Wasim Career Stats,Pakistan,Right arm Fast medium,Bowling Allrounder
FC,9,17,1086,728,22,4/65,6/87,33.09,4.02,49.3,1,0,0,Mohammad Wasim Career Stats,Pakistan,Right arm Fast medium,Bowling Allrounder
List A,35,35,1598,1494,51,4/36,4/36,29.29,5.6,31.3,2,0,0,Mohammad Wasim Career Stats,Pakistan,Right arm Fast medium,Bowling Allrounder
T20s,64,64,1327,1956,77,4/24,4/24,25.4,8.84,17.2,3,0,0,Mohammad Wasim Career Stats,Pakistan,Right arm Fast medium,Bowling Allrounder
Tests,28,48,5490,2858,107,6/51,10/94,26.71,3.12,51.3,11,4,1,Shaheen Shah Afridi Career Stats,Pakistan,Left arm Fast,Bowler
ODIs,53,52,2695,2490,104,6/35,6/35,23.94,5.54,25.9,6,3,0,Shaheen Shah Afridi Career Stats,Pakistan,Left arm Fast,Bowler
T20Is,52,52,1143,1455,64,4/22,4/22,22.73,7.63,17.8,1,0,0,Shaheen Shah Afridi Career Stats,Pakistan,Left arm Fast,Bowler
FC,37,64,7170,3764,147,8/39,10/94,25.6,3.14,48.7,12,5,1,Shaheen Shah Afridi Career Stats,Pakistan,Left arm Fast,Bowler
List A,58,57,2959,2751,109,6/35,6/35,25.23,5.57,27.1,6,3,0,Shaheen Shah Afridi Career Stats,Pakistan,Left arm Fast,Bowler
T20s,163,163,3645,4757,229,6/19,6/19,20.77,7.83,15.9,5,5,0,Shaheen Shah Afridi Career Stats,Pakistan,Left arm Fast,Bowler
Tests,1,1,78,78,1,1/78,1/78,78.0,6.0,78.0,0,0,0,Haris Rauf Career Stats,Pakistan,Right arm Fast,Bowler
ODIs,37,37,1835,1822,69,5/18,5/18,26.4,5.95,26.5,4,1,0,Haris Rauf Career Stats,Pakistan,Right arm Fast,Bowler
T20Is,62,60,1344,1802,83,4/18,4/18,21.71,8.04,16.1,3,0,0,Haris Rauf Career Stats,Pakistan,Right arm Fast,Bowler
FC,9,14,1476,935,32,6/47,9/109,29.21,3.8,46.1,0,2,0,Haris Rauf Career Stats,Pakistan,Right arm Fast,Bowler
List A,41,41,2063,2033,76,5/18,5/18,26.75,5.91,27.1,4,1,0,Haris Rauf Career Stats,Pakistan,Right arm Fast,Bowler
T20s,178,176,3871,5278,234,5/27,5/27,22.55,8.18,16.5,6,1,0,Haris Rauf Career Stats,Pakistan,Right arm Fast,Bowler
Tests,47,-,-,-,-,-,-,-,-,-,-,-,-,KL Rahul Career Stats,India,Wicketkeeper,Wicketkeeper Batter
ODIs,75,-,-,-,-,-,-,-,-,-,-,-,-,KL Rahul Career Stats,India,Wicketkeeper,Wicketkeeper Batter
T20Is,72,-,-,-,-,-,-,-,-,-,-,-,-,KL Rahul Career Stats,India,Wicketkeeper,Wicketkeeper Batter
FC,90,9,168,83,0,-,-,-,2.96,-,0,0,0,KL Rahul Career Stats,India,Wicketkeeper,Wicketkeeper Batter
List A,127,3,21,42,1,1/23,1/23,42.00,12.00,21.0,0,0,0,KL Rahul Career Stats,India,Wicketkeeper,Wicketkeeper Batter
T20s,212,-,-,-,-,-,-,-,-,-,-,-,-,KL Rahul Career Stats,India,Wicketkeeper,Wicketkeeper Batter
Tests,52,16,383,224,2,1/26,1/35,112.0,3.5,191.5,0,0,0,Rohit Sharma Career Stats,India,Right arm Offbreak,Top order Batter
ODIs,262,39,598,522,9,2/27,2/27,58.0,5.23,66.4,0,0,0,Rohit Sharma Career Stats,India,Right arm Offbreak,Top order Batter
T20Is,148,9,68,113,1,1/22,1/22,113.0,9.97,68.0,0,0,0,Rohit Sharma Career Stats,India,Right arm Offbreak,Top order Batter
FC,113,70,2153,1154,24,4/41,5/85,48.08,3.21,89.7,1,0,0,Rohit Sharma Career Stats,India,Right arm Offbreak,Top order Batter
List A,333,71,1372,1169,31,4/28,4/28,37.7,5.11,44.2,1,0,0,Rohit Sharma Career Stats,India,Right arm Offbreak,Top order Batter
T20s,423,59,635,830,29,4/6,4/6,28.62,7.84,21.8,1,0,0,Rohit Sharma Career Stats,India,Right arm Offbreak,Top order Batter
Tests,111,11,175,84,0,-,-,-,2.88,-,0,0,0,Virat Kohli Career Stats,India,Right arm Medium,Top order Batter
ODIs,292,50,662,680,5,1/13,1/13,136.00,6.16,132.4,0,0,0,Virat Kohli Career Stats,India,Right arm Medium,Top order Batter
T20Is,115,13,152,204,4,1/13,1/13,51.00,8.05,38.0,0,0,0,Virat Kohli Career Stats,India,Right arm Medium,Top order Batter
FC,143,25,643,338,3,1/19,2/42,112.66,3.15,214.3,0,0,0,Virat Kohli Career Stats,India,Right arm Medium,Top order Batter
List A,326,57,726,741,5,1/13,1/13,148.20,6.12,145.2,0,0,0,Virat Kohli Career Stats,India,Right arm Medium,Top order Batter
T20s,374,45,460,667,8,2/25,2/25,83.37,8.7,57.5,0,0,0,Virat Kohli Career Stats,India,Right arm Medium,Top order Batter
Tests,1,-,-,-,-,-,-,-,-,-,-,-,-,Suryakumar Yadav Career Stats,India,"Right arm Medium, Right arm Offbreak",Batter
ODIs,37,1,12,17,0,-,-,-,8.50,-,0,0,0,Suryakumar Yadav Career Stats,India,"Right arm Medium, Right arm Offbreak",Batter
T20Is,60,-,-,-,-,-,-,-,-,-,-,-,-,Suryakumar Yadav Career Stats,India,"Right arm Medium, Right arm Offbreak",Batter
FC,82,50,1154,550,24,4/47,4/47,22.91,2.85,48.0,1,0,0,Suryakumar Yadav Career Stats,India,"Right arm Medium, Right arm Offbreak",Batter
List A,139,18,442,395,6,2/20,2/20,65.83,5.36,73.6,0,0,0,Suryakumar Yadav Career Stats,India,"Right arm Medium, Right arm Offbreak",Batter
T20s,270,10,132,140,6,2/11,2/11,23.33,6.36,22.0,0,0,0,Suryakumar Yadav Career Stats,India,"Right arm Medium, Right arm Offbreak",Batter
Tests,11,19,937,528,17,5/28,6/50,31.05,3.38,55.1,0,1,0,Hardik Pandya Career Stats,India,Right arm Medium fast,Allrounder
ODIs,86,80,3199,2960,84,4/24,4/24,35.23,5.55,38.0,1,0,0,Hardik Pandya Career Stats,India,Right arm Medium fast,Allrounder
T20Is,92,81,1433,1950,73,4/16,4/16,26.71,8.16,19.6,3,0,0,Hardik Pandya Career Stats,India,Right arm Medium fast,Allrounder
FC,29,39,2694,1486,48,5/28,8/91,30.95,3.3,56.1,0,3,0,Hardik Pandya Career Stats,India,Right arm Medium fast,Allrounder
List A,107,94,3949,3563,100,4/24,4/24,35.63,5.41,39.4,1,0,0,Hardik Pandya Career Stats,India,Right arm Medium fast,Allrounder
T20s,244,190,3175,4309,152,4/16,4/16,28.34,8.14,20.8,3,0,0,Hardik Pandya Career Stats,India,Right arm Medium fast,Allrounder
Tests,33,-,-,-,-,-,-,-,-,-,-,-,-,Rishabh Pant Career Stats,India,Wicketkeeper,Wicketkeeper Batter
ODIs,30,-,-,-,-,-,-,-,-,-,-,-,-,Rishabh Pant Career Stats,India,Wicketkeeper,Wicketkeeper Batter
T20Is,66,-,-,-,-,-,-,-,-,-,-,-,-,Rishabh Pant Career Stats,India,Wicketkeeper,Wicketkeeper Batter
FC,57,1,12,9,1,1/9,1/9,9.00,4.50,12.0,0,0,0,Rishabh Pant Career Stats,India,Wicketkeeper,Wicketkeeper Batter
List A,66,-,-,-,-,-,-,-,-,-,-,-,-,Rishabh Pant Career Stats,India,Wicketkeeper,Wicketkeeper Batter
T20s,179,-,-,-,-,-,-,-,-,-,-,-,-,Rishabh Pant Career Stats,India,Wicketkeeper,Wicketkeeper Batter
Tests,94,178,25113,11569,489,7/59,13/140,23.65,2.76,51.3,24,34,8,Ravichandran Ashwin Career Stats,India,Right arm Offbreak,Bowling Allrounder
ODIs,116,114,6303,5180,156,4/25,4/25,33.2,4.93,40.4,1,0,0,Ravichandran Ashwin Career Stats,India,Right arm Offbreak,Bowling Allrounder
T20Is,65,65,1452,1672,72,4/8,4/8,23.22,6.9,20.1,2,0,0,Ravichandran Ashwin Career Stats,India,Right arm Offbreak,Bowling Allrounder
FC,150,270,39649,18124,731,7/59,13/140,24.79,2.74,54.2,32,53,12,Ravichandran Ashwin Career Stats,India,Right arm Offbreak,Bowling Allrounder
List A,176,174,9514,7364,236,4/25,4/25,31.2,4.64,40.3,1,0,0,Ravichandran Ashwin Career Stats,India,Right arm Offbreak,Bowling Allrounder
T20s,309,306,6684,7793,301,4/8,4/8,25.89,6.99,22.2,4,0,0,Ravichandran Ashwin Career Stats,India,Right arm Offbreak,Bowling Allrounder
ODIs,22,-,-,-,-,-,-,-,-,-,-,-,-,Finn Allen Career Stats,Zealand,Occasional Wicketkeeper,Top order Batter
T20Is,32,-,-,-,-,-,-,-,-,-,-,-,-,Finn Allen Career Stats,Zealand,Occasional Wicketkeeper,Top order Batter
FC,19,1,18,15,1,1/15,1/15,15.00,5.00,18.0,0,0,0,Finn Allen Career Stats,Zealand,Occasional Wicketkeeper,Top order Batter
List A,56,7,162,157,1,1/32,1/32,157.00,5.81,162.0,0,0,0,Finn Allen Career Stats,Zealand,Occasional Wicketkeeper,Top order Batter
T20s,99,1,6,8,0,-,-,-,8.00,-,0,0,0,Finn Allen Career Stats,Zealand,Occasional Wicketkeeper,Top order Batter
Tests,18,-,-,-,-,-,-,-,-,-,-,-,-,Devon Conway Career Stats,Zealand,Right arm Medium,Occasional Wicketkeeper
ODIs,32,-,-,-,-,-,-,-,-,-,-,-,-,Devon Conway Career Stats,Zealand,Right arm Medium,Occasional Wicketkeeper
T20Is,41,-,-,-,-,-,-,-,-,-,-,-,-,Devon Conway Career Stats,Zealand,Right arm Medium,Occasional Wicketkeeper
FC,128,25,626,467,9,3/36,4/88,51.88,4.47,69.5,0,0,0,Devon Conway Career Stats,Zealand,Right arm Medium,Occasional Wicketkeeper
List A,115,9,128,127,3,1/7,1/7,42.33,5.95,42.6,0,0,0,Devon Conway Career Stats,Zealand,Right arm Medium,Occasional Wicketkeeper
T20s,168,8,103,141,3,1/10,1/10,47.00,8.21,34.3,0,0,0,Devon Conway Career Stats,Zealand,Right arm Medium,Occasional Wicketkeeper
Tests,96,67,2151,1207,30,4/44,4/44,40.23,3.36,71.7,1,0,0,Kane Williamson Career Stats,Zealand,Right arm Offbreak,Top order Batter
ODIs,165,65,1467,1310,37,4/22,4/22,35.4,5.35,39.6,1,0,0,Kane Williamson Career Stats,Zealand,Right arm Offbreak,Top order Batter
T20Is,87,12,118,164,6,2/16,2/16,27.33,8.33,19.6,0,0,0,Kane Williamson Career Stats,Zealand,Right arm Offbreak,Top order Batter
FC,164,142,6624,3721,86,5/75,5/59,43.26,3.37,77.0,1,1,0,Kane Williamson Career Stats,Zealand,Right arm Offbreak,Top order Batter
List A,227,99,2756,2383,67,5/51,5/51,35.56,5.18,41.1,1,1,0,Kane Williamson Career Stats,Zealand,Right arm Offbreak,Top order Batter
T20s,246,54,770,909,30,3/33,3/33,30.3,7.08,25.6,0,0,0,Kane Williamson Career Stats,Zealand,Right arm Offbreak,Top order Batter
Tests,3,3,264,131,8,4/53,5/100,16.37,2.97,33.0,1,0,0,Glenn Phillips Career Stats,Zealand,Right arm Offbreak,Wicketkeeper
ODIs,30,20,462,471,12,3/37,3/37,39.25,6.11,38.5,0,0,0,Glenn Phillips Career Stats,Zealand,Right arm Offbreak,Wicketkeeper
T20Is,63,8,87,104,2,1/11,1/11,52.0,7.17,43.5,0,0,0,Glenn Phillips Career Stats,Zealand,Right arm Offbreak,Wicketkeeper
FC,51,59,3111,1787,48,4/53,5/100,37.22,3.44,64.8,2,0,0,Glenn Phillips Career Stats,Zealand,Right arm Offbreak,Wicketkeeper
List A,81,40,978,977,24,3/37,3/37,40.7,5.99,40.7,0,0,0,Glenn Phillips Career Stats,Zealand,Right arm Offbreak,Wicketkeeper
T20s,218,35,389,523,17,2/11,2/11,30.76,8.06,22.8,0,0,0,Glenn Phillips Career Stats,Zealand,Right arm Offbreak,Wicketkeeper
Tests,20,19,661,333,3,1/7,1/7,111.0,3.02,220.3,0,0,0,Daryl Mitchell Career Stats,Zealand,Right hand Bat,Right arm Medium
ODIs,39,14,291,275,13,3/25,3/25,21.15,5.67,22.3,0,0,0,Daryl Mitchell Career Stats,Zealand,Right hand Bat,Right arm Medium
T20Is,56,10,89,148,8,2/27,2/27,18.5,9.97,11.1,0,0,0,Daryl Mitchell Career Stats,Zealand,Right hand Bat,Right arm Medium
FC,100,124,5683,3039,98,5/44,6/62,31.01,3.2,57.9,3,1,0,Daryl Mitchell Career Stats,Zealand,Right hand Bat,Right arm Medium
List A,125,68,1900,1916,64,3/25,3/25,29.93,6.05,29.6,0,0,0,Daryl Mitchell Career Stats,Zealand,Right hand Bat,Right arm Medium
T20s,186,86,1172,1798,76,4/32,4/32,23.65,9.2,15.4,2,0,0,Daryl Mitchell Career Stats,Zealand,Right hand Bat,Right arm Medium
Tests,12,21,1076,675,14,3/42,3/42,48.21,3.76,76.8,0,0,0,James Neesham Career Stats,Zealand,Left hand Bat,Right arm Medium fast
ODIs,76,72,2448,2556,71,5/27,5/27,36.0,6.26,34.4,2,2,0,James Neesham Career Stats,Zealand,Left hand Bat,Right arm Medium fast
T20Is,69,49,663,1010,35,3/16,3/16,28.85,9.14,18.9,0,0,0,James Neesham Career Stats,Zealand,Left hand Bat,Right arm Medium fast
FC,68,115,7173,4095,124,5/65,6/82,33.02,3.42,57.8,2,2,0,James Neesham Career Stats,Zealand,Left hand Bat,Right arm Medium fast
List A,140,123,4580,4530,149,5/27,5/27,30.4,5.93,30.7,6,4,0,James Neesham Career Stats,Zealand,Left hand Bat,Right arm Medium fast
T20s,253,216,3533,5309,208,4/24,4/24,25.52,9.01,16.9,3,0,0,James Neesham Career Stats,Zealand,Left hand Bat,Right arm Medium fast
Tests,12,23,2258,858,50,6/38,11/70,17.16,2.27,45.1,2,5,1,Axar Patel Career Stats,India,Left hand Bat,Slow Left arm Orthodox
ODIs,57,52,2607,1972,60,3/24,3/24,32.86,4.53,43.4,0,0,0,Axar Patel Career Stats,India,Left hand Bat,Slow Left arm Orthodox
T20Is,50,48,931,1146,45,3/9,3/9,25.46,7.38,20.6,0,0,0,Axar Patel Career Stats,India,Left hand Bat,Slow Left arm Orthodox
FC,52,92,11092,4568,185,7/54,11/70,24.69,2.47,59.9,8,11,2,Axar Patel Career Stats,India,Left hand Bat,Slow Left arm Orthodox
List A,153,146,7678,5528,184,6/43,6/43,30.04,4.31,41.7,3,1,0,Axar Patel Career Stats,India,Left hand Bat,Slow Left arm Orthodox
T20s,232,228,4763,5551,196,4/21,4/21,28.32,6.99,24.3,1,0,0,Axar Patel Career Stats,India,Left hand Bat,Slow Left arm Orthodox
Tests,25,10,112,81,0,-,-,-,4.33,-,0,0,0,Najmul Hossain Shanto Career Stats,Bangladesh,Right arm Offbreak,Top order Batter
ODIs,42,6,80,75,1,1/10,1/10,75.00,5.62,80.0,0,0,0,Najmul Hossain Shanto Career Stats,Bangladesh,Right arm Offbreak,Top order Batter
T20Is,25,2,12,12,0,-,-,-,6.0,-,0,0,0,Najmul Hossain Shanto Career Stats,Bangladesh,Right arm Offbreak,Top order Batter
FC,71,31,635,407,7,2/44,2/45,58.14,3.84,90.7,0,0,0,Najmul Hossain Shanto Career Stats,Bangladesh,Right arm Offbreak,Top order Batter
List A,150,28,469,444,12,2/39,2/39,37.00,5.68,39.0,0,0,0,Najmul Hossain Shanto Career Stats,Bangladesh,Right arm Offbreak,Top order Batter
T20s,126,16,137,160,6,2/2,2/2,26.66,7.0,22.8,0,0,0,Najmul Hossain Shanto Career Stats,Bangladesh,Right arm Offbreak,Top order Batter
Tests,39,1,12,13,0,-,-,-,6.50,-,0,0,0,Litton Das Career Stats,Bangladesh,Right arm Offbreak,Wicketkeeper
ODIs,89,-,-,-,-,-,-,-,-,-,-,-,-,Litton Das Career Stats,Bangladesh,Right arm Offbreak,Wicketkeeper
T20Is,73,-,-,-,-,-,-,-,-,-,-,-,-,Litton Das Career Stats,Bangladesh,Right arm Offbreak,Wicketkeeper
FC,87,2,30,27,0,-,-,-,5.40,-,0,0,0,Litton Das Career Stats,Bangladesh,Right arm Offbreak,Wicketkeeper
List A,173,-,-,-,-,-,-,-,-,-,-,-,-,Litton Das Career Stats,Bangladesh,Right arm Offbreak,Wicketkeeper
T20s,185,-,-,-,-,-,-,-,-,-,-,-,-,Litton Das Career Stats,Bangladesh,Right arm Offbreak,Wicketkeeper
Tests,16,12,508,336,4,2/68,2/68,84.0,3.96,127.0,0,0,0,Soumya Sarkar Career Stats,Bangladesh,Right arm Medium fast,Middle order Batter
ODIs,66,21,484,483,14,3/18,3/18,34.5,5.98,34.5,0,0,0,Soumya Sarkar Career Stats,Bangladesh,Right arm Medium fast,Middle order Batter
T20Is,72,24,264,417,11,2/19,2/19,37.9,9.47,24.0,0,0,0,Soumya Sarkar Career Stats,Bangladesh,Right arm Medium fast,Middle order Batter
FC,89,111,4323,2358,70,5/34,6/54,33.68,3.27,61.7,3,2,0,Soumya Sarkar Career Stats,Bangladesh,Right arm Medium fast,Middle order Batter
List A,184,113,3149,2951,92,4/34,4/34,32.07,5.62,34.2,2,0,0,Soumya Sarkar Career Stats,Bangladesh,Right arm Medium fast,Middle order Batter
T20s,198,77,987,1516,43,2/12,2/12,35.25,9.21,22.9,0,0,0,Soumya Sarkar Career Stats,Bangladesh,Right arm Medium fast,Middle order Batter
Tests,66,111,14775,7238,233,7/36,10/124,31.06,2.93,63.4,10,19,2,Shakib Al Hasan Career Stats,Bangladesh,Left hand Bat,Slow Left arm Orthodox
ODIs,247,241,12575,9360,317,5/29,5/29,29.52,4.46,39.6,10,4,0,Shakib Al Hasan Career Stats,Bangladesh,Left hand Bat,Slow Left arm Orthodox
T20Is,117,115,2535,2869,140,5/20,5/20,20.49,6.79,18.1,5,2,0,Shakib Al Hasan Career Stats,Bangladesh,Left hand Bat,Slow Left arm Orthodox
FC,102,-,20925,10013,333,7/32,-,30.06,2.87,62.8,12,24,2,Shakib Al Hasan Career Stats,Bangladesh,Left hand Bat,Slow Left arm Orthodox
List A,302,295,15031,11058,391,5/18,5/18,28.28,4.41,38.4,15,5,0,Shakib Al Hasan Career Stats,Bangladesh,Left hand Bat,Slow Left arm Orthodox
T20s,415,408,8776,9915,465,6/6,6/6,21.32,6.77,18.8,10,5,0,Shakib Al Hasan Career Stats,Bangladesh,Left hand Bat,Slow Left arm Orthodox
ODIs,31,10,94,91,3,1/0,1/0,30.33,5.8,31.3,0,0,0,Afif Hossain Career Stats,Bangladesh,Left hand Bat,Right arm Offbreak
T20Is,66,21,198,251,12,3/11,3/11,20.91,7.6,16.5,0,0,0,Afif Hossain Career Stats,Bangladesh,Left hand Bat,Right arm Offbreak
FC,35,44,1751,1109,21,7/66,7/66,52.8,3.8,83.3,0,1,0,Afif Hossain Career Stats,Bangladesh,Left hand Bat,Right arm Offbreak
List A,115,66,1679,1502,38,5/32,5/32,39.52,5.36,44.1,0,1,0,Afif Hossain Career Stats,Bangladesh,Left hand Bat,Right arm Offbreak
T20s,164,67,690,969,34,5/21,5/21,28.5,8.42,20.2,0,1,0,Afif Hossain Career Stats,Bangladesh,Left hand Bat,Right arm Offbreak
Tests,4,6,162,87,0,-,-,-,3.22,-,0,0,0,Mosaddek Hossain Career Stats,Bangladesh,Right hand Bat,Right arm Offbreak
ODIs,43,41,1130,969,17,3/13,3/13,57.00,5.14,66.4,0,0,0,Mosaddek Hossain Career Stats,Bangladesh,Right hand Bat,Right arm Offbreak
T20Is,33,26,331,398,18,5/20,5/20,22.11,7.21,18.3,0,1,0,Mosaddek Hossain Career Stats,Bangladesh,Right hand Bat,Right arm Offbreak
FC,45,58,2825,1579,29,4/33,7/98,54.44,3.35,97.4,1,0,0,Mosaddek Hossain Career Stats,Bangladesh,Right hand Bat,Right arm Offbreak
List A,159,131,4400,3440,86,5/43,5/43,40.00,4.69,51.1,2,1,0,Mosaddek Hossain Career Stats,Bangladesh,Right hand Bat,Right arm Offbreak
T20s,142,99,1332,1594,58,5/20,5/20,27.48,7.18,22.9,0,1,0,Mosaddek Hossain Career Stats,Bangladesh,Right hand Bat,Right arm Offbreak
Tests,11,-,-,-,-,-,-,-,-,-,-,-,-,Nurul Hasan Career Stats,Bangladesh,Right hand Bat,Wicketkeeper
ODIs,7,-,-,-,-,-,-,-,-,-,-,-,-,Nurul Hasan Career Stats,Bangladesh,Right hand Bat,Wicketkeeper
T20Is,46,-,-,-,-,-,-,-,-,-,-,-,-,Nurul Hasan Career Stats,Bangladesh,Right hand Bat,Wicketkeeper
FC,105,5,36,36,1,1/3,1/3,36.00,6.00,36.0,0,0,0,Nurul Hasan Career Stats,Bangladesh,Right hand Bat,Wicketkeeper
List A,125,-,-,-,-,-,-,-,-,-,-,-,-,Nurul Hasan Career Stats,Bangladesh,Right hand Bat,Wicketkeeper
T20s,173,-,-,-,-,-,-,-,-,-,-,-,-,Nurul Hasan Career Stats,Bangladesh,Right hand Bat,Wicketkeeper
Tests,13,24,2461,1545,30,4/37,5/128,51.5,3.76,82.0,3,0,0,Taskin Ahmed Career Stats,Bangladesh,Left hand Bat,Right arm Fast
