Format,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,4s,6s,Ct,St,player_name,player_country,batsman_batting_style,batsman_playing_role
Tests,7,14,0,318,95,22.71,603,52.73,0,3,44,0,4,0,Andy Balbirnie Career Stats,Ireland,Right hand Bat,Occasional Wicketkeeper
ODIs,106,100,8,3003,145*,32.64,3995,75.16,8,16,288,36,35,0,Andy Balbirnie Career Stats,Ireland,Right hand Bat,Occasional Wicketkeeper
T20Is,98,94,4,2094,83,23.26,1679,124.71,0,10,222,60,38,0,Andy Balbirnie Career Stats,Ireland,Right hand Bat,Occasional Wicketkeeper
FC,38,57,3,1525,205*,28.24,2845,53.6,2,9,189,4,34,0,Andy Balbirnie Career Stats,Ireland,Right hand Bat,Occasional Wicketkeeper
List A,145,136,12,4595,160*,37.05,5889,78.02,13,23,463,60,50,0,Andy Balbirnie Career Stats,Ireland,Right hand Bat,Occasional Wicketkeeper
T20s,152,146,9,3409,99*,24.88,2652,128.54,0,18,369,97,60,0,Andy Balbirnie Career Stats,Ireland,Right hand Bat,Occasional Wicketkeeper
Tests,4,8,0,351,108,43.87,545,64.4,1,1,46,1,5,2,Lorcan Tucker Career Stats,Ireland,Right hand Bat,Wicketkeeper Batter
ODIs,49,40,5,753,83,21.51,958,78.6,0,3,63,11,63,3,Lorcan Tucker Career Stats,Ireland,Right hand Bat,Wicketkeeper Batter
T20Is,62,58,8,1054,94*,21.08,859,122.7,0,6,96,25,48,5,Lorcan Tucker Career Stats,Ireland,Right hand Bat,Wicketkeeper Batter
FC,19,28,3,821,108,32.84,1546,53.1,1,4,98,9,42,6,Lorcan Tucker Career Stats,Ireland,Right hand Bat,Wicketkeeper Batter
List A,95,79,9,1956,133,27.94,2224,87.94,2,10,198,34,112,13,Lorcan Tucker Career Stats,Ireland,Right hand Bat,Wicketkeeper Batter
T20s,112,101,18,1798,94*,21.66,1401,128.33,0,8,163,51,72,18,Lorcan Tucker Career Stats,Ireland,Right hand Bat,Wicketkeeper Batter
Tests,4,8,0,336,85,42.0,738,45.52,0,4,34,7,1,0,Harry Tector Career Stats,Ireland,Right hand Bat,Middle order Batter
ODIs,43,39,6,1606,140,48.66,1919,83.68,4,11,126,41,20,0,Harry Tector Career Stats,Ireland,Right hand Bat,Middle order Batter
T20Is,67,61,11,1171,64*,23.42,970,120.72,0,4,87,29,39,0,Harry Tector Career Stats,Ireland,Right hand Bat,Middle order Batter
FC,16,27,1,776,146,29.84,1770,43.84,1,6,82,10,6,0,Harry Tector Career Stats,Ireland,Right hand Bat,Middle order Batter
List A,93,86,13,3017,140,41.32,3686,81.85,5,21,255,65,42,0,Harry Tector Career Stats,Ireland,Right hand Bat,Middle order Batter
T20s,107,99,19,1915,91,23.93,1536,124.67,0,7,150,56,52,0,Harry Tector Career Stats,Ireland,Right hand Bat,Middle order Batter
Tests,4,8,0,240,111,30.0,527,45.54,1,0,37,3,0,0,Curtis Campher Career Stats,Ireland,Right hand Bat,Allrounder
ODIs,35,27,2,872,120,34.88,1071,81.41,1,6,86,10,10,0,Curtis Campher Career Stats,Ireland,Right hand Bat,Allrounder
T20Is,44,37,7,707,72*,23.56,547,129.25,0,3,57,20,20,0,Curtis Campher Career Stats,Ireland,Right hand Bat,Allrounder
FC,6,12,0,337,111,28.08,784,42.98,1,0,49,3,1,0,Curtis Campher Career Stats,Ireland,Right hand Bat,Allrounder
List A,60,50,4,1552,120,33.73,1814,85.55,2,10,156,19,23,0,Curtis Campher Career Stats,Ireland,Right hand Bat,Allrounder
T20s,68,59,12,1056,72*,22.46,778,135.73,0,4,81,39,29,0,Curtis Campher Career Stats,Ireland,Right hand Bat,Allrounder
Tests,2,4,0,98,39,24.5,257,38.13,0,0,14,0,0,0,George Dockrell Career Stats,Ireland,Right hand Bat,Allrounder
ODIs,122,84,28,1335,91*,23.83,1637,81.55,0,6,104,27,47,0,George Dockrell Career Stats,Ireland,Right hand Bat,Allrounder
T20Is,128,80,31,969,58*,19.77,735,131.83,0,1,67,36,61,0,George Dockrell Career Stats,Ireland,Right hand Bat,Allrounder
FC,62,79,22,1108,92,19.43,2635,42.04,0,4,146,6,27,0,George Dockrell Career Stats,Ireland,Right hand Bat,Allrounder
List A,189,130,48,2569,100*,31.32,2954,86.96,1,15,222,57,80,0,George Dockrell Career Stats,Ireland,Right hand Bat,Allrounder
T20s,207,113,44,1527,69*,22.13,1112,137.32,0,4,114,62,116,0,George Dockrell Career Stats,Ireland,Right hand Bat,Allrounder
ODIs,21,18,5,234,22,18.0,246,95.12,0,0,20,6,9,0,Gareth Delany Career Stats,Ireland,Right hand Bat,Batting Allrounder
T20Is,64,55,11,880,89*,20.0,664,132.53,0,3,72,35,21,0,Gareth Delany Career Stats,Ireland,Right hand Bat,Batting Allrounder
FC,5,6,0,69,22,11.5,119,57.98,0,0,9,1,1,0,Gareth Delany Career Stats,Ireland,Right hand Bat,Batting Allrounder
List A,55,48,6,1055,104,25.11,1189,88.73,1,6,75,48,20,0,Gareth Delany Career Stats,Ireland,Right hand Bat,Batting Allrounder
T20s,105,94,13,1907,89*,23.54,1369,139.29,0,9,181,83,30,0,Gareth Delany Career Stats,Ireland,Right hand Bat,Batting Allrounder
Tests,4,8,1,181,88,25.85,264,68.56,0,1,23,4,2,0,Mark Adair Career Stats,Ireland,Sparky,Right arm Fast medium
ODIs,46,32,12,396,32,19.8,349,113.46,0,0,31,19,21,0,Mark Adair Career Stats,Ireland,Sparky,Right arm Fast medium
T20Is,74,51,11,567,72,14.17,466,121.67,0,1,35,27,34,0,Mark Adair Career Stats,Ireland,Sparky,Right arm Fast medium
FC,16,25,3,671,91,30.5,974,68.89,0,4,88,18,12,0,Mark Adair Career Stats,Ireland,Sparky,Right arm Fast medium
List A,81,62,16,1104,108,24.0,1005,109.85,1,1,96,49,29,0,Mark Adair Career Stats,Ireland,Sparky,Right arm Fast medium
T20s,107,78,12,907,72,13.74,703,129.01,0,1,62,46,56,0,Mark Adair Career Stats,Ireland,Sparky,Right arm Fast medium
ODIs,44,29,7,212,41,9.63,337,62.9,0,0,18,2,14,0,Barry McCarthy Career Stats,Ireland,Right hand Bat,Bowler
T20Is,46,29,10,272,51*,14.31,214,127.1,0,1,19,15,10,0,Barry McCarthy Career Stats,Ireland,Right hand Bat,Bowler
FC,23,34,8,523,51*,20.11,1043,50.14,0,1,63,6,10,0,Barry McCarthy Career Stats,Ireland,Right hand Bat,Bowler
List A,72,50,14,665,110,18.47,711,93.53,1,0,48,29,22,0,Barry McCarthy Career Stats,Ireland,Right hand Bat,Bowler
T20s,79,47,16,398,51*,12.83,317,125.55,0,1,29,20,17,0,Barry McCarthy Career Stats,Ireland,Right hand Bat,Bowler
Tests,1,2,0,8,7,4.0,41,19.51,0,0,0,0,1,0,Fionn Hand Career Stats,Ireland,Right hand Bat,Bowling Allrounder
T20Is,10,8,2,59,36,9.83,42,140.47,0,0,8,2,3,0,Fionn Hand Career Stats,Ireland,Right hand Bat,Bowling Allrounder
FC,5,6,1,93,48*,18.6,167,55.68,0,0,13,2,3,0,Fionn Hand Career Stats,Ireland,Right hand Bat,Bowling Allrounder
List A,24,20,6,350,49*,25.0,362,96.68,0,0,32,13,6,0,Fionn Hand Career Stats,Ireland,Right hand Bat,Bowling Allrounder
T20s,34,21,7,250,44*,17.85,202,123.76,0,0,29,9,16,0,Fionn Hand Career Stats,Ireland,Right hand Bat,Bowling Allrounder
ODIs,36,14,5,80,29,8.88,84,95.23,0,0,11,2,5,0,Josh Little Career Stats,Ireland,Right hand Bat,Bowler
T20Is,63,28,17,93,15*,8.45,118,78.81,0,0,7,2,14,0,Josh Little Career Stats,Ireland,Right hand Bat,Bowler
FC,6,6,2,68,27,17.0,109,62.38,0,0,11,1,1,0,Josh Little Career Stats,Ireland,Right hand Bat,Bowler
List A,58,22,8,136,29,9.71,159,85.53,0,0,14,3,10,0,Josh Little Career Stats,Ireland,Right hand Bat,Bowler
T20s,112,43,28,170,27*,11.33,192,88.54,0,0,14,4,35,0,Josh Little Career Stats,Ireland,Right hand Bat,Bowler
ODIs,22,14,4,49,15,4.9,105,46.66,0,0,6,0,2,0,Hasan Mahmud Career Stats,Bangladesh,Right hand Bat,Bowler
T20Is,17,6,4,7,3,3.5,15,46.66,0,0,0,0,5,0,Hasan Mahmud Career Stats,Bangladesh,Right hand Bat,Bowler
FC,16,21,11,95,19,9.5,262,36.25,0,0,11,2,5,0,Hasan Mahmud Career Stats,Bangladesh,Right hand Bat,Bowler
List A,52,29,13,109,18*,6.81,191,57.06,0,0,13,1,13,0,Hasan Mahmud Career Stats,Bangladesh,Right hand Bat,Bowler
T20s,53,16,12,26,15*,6.5,41,63.41,0,0,3,0,12,0,Hasan Mahmud Career Stats,Bangladesh,Right hand Bat,Bowler
ODIs,2,2,0,42,29,21.0,33,127.27,0,0,4,2,1,0,Haider Ali Career Stats,Pakistan,Right hand Bat,NotAvailable
T20Is,35,32,3,505,68,17.41,405,124.69,0,3,43,22,8,0,Haider Ali Career Stats,Pakistan,Right hand Bat,NotAvailable
FC,24,37,2,1687,206,48.2,2502,67.42,5,8,224,23,14,0,Haider Ali Career Stats,Pakistan,Right hand Bat,NotAvailable
List A,46,46,2,1468,118,33.36,1679,87.43,1,12,129,39,15,0,Haider Ali Career Stats,Pakistan,Right hand Bat,NotAvailable
T20s,126,121,12,2402,91*,22.03,1795,133.81,0,13,217,108,32,0,Haider Ali Career Stats,Pakistan,Right hand Bat,NotAvailable
ODIs,21,16,1,382,52,25.46,314,121.65,0,3,22,21,6,0,Asif Ali Career Stats,Pakistan,Right hand Bat,Middle order Batter
T20Is,58,51,13,577,41*,15.18,431,133.87,0,0,27,37,21,0,Asif Ali Career Stats,Pakistan,Right hand Bat,Middle order Batter
FC,43,78,4,1777,114,24.01,2627,67.64,2,7,251,29,33,0,Asif Ali Career Stats,Pakistan,Right hand Bat,Middle order Batter
List A,90,82,6,2229,138,29.32,2002,111.33,4,12,188,100,40,0,Asif Ali Career Stats,Pakistan,Right hand Bat,Middle order Batter
T20s,283,255,51,4527,100,22.19,3079,147.02,1,14,304,291,116,0,Asif Ali Career Stats,Pakistan,Right hand Bat,Middle order Batter
ODIs,35,30,4,593,100*,22.8,815,72.76,1,1,47,7,13,0,Simi Singh Career Stats,Ireland,Right hand Bat,Bowling Allrounder
T20Is,53,40,11,296,57*,10.2,273,108.42,0,1,18,8,16,0,Simi Singh Career Stats,Ireland,Right hand Bat,Bowling Allrounder
FC,13,19,2,612,121,36.0,998,61.32,2,2,74,10,6,0,Simi Singh Career Stats,Ireland,Right hand Bat,Bowling Allrounder
List A,79,71,13,1614,121*,27.82,1960,82.34,2,6,134,37,28,0,Simi Singh Career Stats,Ireland,Right hand Bat,Bowling Allrounder
T20s,90,73,14,1181,109,20.01,927,127.4,1,5,96,40,29,0,Simi Singh Career Stats,Ireland,Right hand Bat,Bowling Allrounder
ODIs,16,16,0,361,67,22.56,409,88.26,0,2,38,17,3,0,Hazratullah Zazai Career Stats,Afghanistan,Left hand Bat,Opening Batter
T20Is,38,38,3,1007,162*,28.77,756,133.2,1,3,97,57,5,0,Hazratullah Zazai Career Stats,Afghanistan,Left hand Bat,Opening Batter
FC,17,33,1,1246,133,38.93,1338,93.12,3,8,153,44,22,0,Hazratullah Zazai Career Stats,Afghanistan,Left hand Bat,Opening Batter
List A,35,35,1,898,118,26.41,884,101.58,2,3,109,33,10,0,Hazratullah Zazai Career Stats,Afghanistan,Left hand Bat,Opening Batter
T20s,106,106,4,2675,162*,26.22,1921,139.25,2,13,273,149,32,0,Hazratullah Zazai Career Stats,Afghanistan,Left hand Bat,Opening Batter
ODIs,15,6,4,37,17,18.5,62,59.67,0,0,1,1,3,0,Fareed Ahmad Career Stats,Afghanistan,Farid Malik,Left arm Fast medium
T20Is,28,5,4,32,24*,32.0,33,96.96,0,0,5,0,5,0,Fareed Ahmad Career Stats,Afghanistan,Farid Malik,Left arm Fast medium
FC,20,29,3,523,68,20.11,636,82.23,0,1,61,20,10,0,Fareed Ahmad Career Stats,Afghanistan,Farid Malik,Left arm Fast medium
List A,41,25,9,261,41*,16.31,312,83.65,0,0,15,13,16,0,Fareed Ahmad Career Stats,Afghanistan,Farid Malik,Left arm Fast medium
T20s,61,17,9,74,24*,9.25,77,96.1,0,0,9,1,11,0,Fareed Ahmad Career Stats,Afghanistan,Farid Malik,Left arm Fast medium
ODIs,27,14,9,16,6*,3.2,51,31.37,0,0,2,0,2,0,Fazalhaq Farooqi Career Stats,Afghanistan,Right hand Bat,Bowler
T20Is,24,3,2,1,1*,1.0,4,25.0,0,0,0,0,3,0,Fazalhaq Farooqi Career Stats,Afghanistan,Right hand Bat,Bowler
FC,12,18,9,48,17,5.33,119,40.33,0,0,6,3,8,0,Fazalhaq Farooqi Career Stats,Afghanistan,Right hand Bat,Bowler
List A,33,17,10,24,7,3.42,65,36.92,0,0,2,1,2,0,Fazalhaq Farooqi Career Stats,Afghanistan,Right hand Bat,Bowler
T20s,56,11,7,5,2*,1.25,24,20.83,0,0,0,0,10,0,Fazalhaq Farooqi Career Stats,Afghanistan,Right hand Bat,Bowler
ODIs,53,52,9,1593,103*,37.04,1945,81.9,1,11,161,41,26,0,George Munsey Career Stats,Scotland,Left hand Bat,Opening Batter
T20Is,62,60,4,1676,132,29.92,1172,143.0,2,9,203,65,24,0,George Munsey Career Stats,Scotland,Left hand Bat,Opening Batter
FC,4,5,1,224,100*,56.0,371,60.37,1,1,39,0,1,0,George Munsey Career Stats,Scotland,Left hand Bat,Opening Batter
List A,74,67,10,2128,108,37.33,2479,85.84,2,14,228,56,33,0,George Munsey Career Stats,Scotland,Left hand Bat,Opening Batter
T20s,73,71,5,1824,132,27.63,1291,141.28,2,9,224,70,31,0,George Munsey Career Stats,Scotland,Left hand Bat,Opening Batter
ODIs,12,12,0,354,87,29.5,530,66.79,0,3,33,3,4,0,Michael Jones Career Stats,Scotland,Right hand Bat,Top order Batter
T20Is,4,4,0,110,86,27.5,79,139.24,0,1,10,4,2,0,Michael Jones Career Stats,Scotland,Right hand Bat,Top order Batter
FC,37,60,4,1952,206,34.85,3821,51.08,3,12,258,12,14,0,Michael Jones Career Stats,Scotland,Right hand Bat,Top order Batter
List A,21,21,0,613,119,29.19,819,74.84,1,4,49,10,9,0,Michael Jones Career Stats,Scotland,Right hand Bat,Top order Batter
T20s,32,29,1,760,86,27.14,560,135.71,0,2,74,27,9,0,Michael Jones Career Stats,Scotland,Right hand Bat,Top order Batter
ODIs,90,83,2,1941,114,23.96,2733,71.02,2,10,177,23,118,7,Matthew Cross Career Stats,Scotland,Right hand Bat,Wicketkeeper Batter
T20Is,65,54,8,1038,66*,22.56,898,115.59,0,5,105,25,40,15,Matthew Cross Career Stats,Scotland,Right hand Bat,Wicketkeeper Batter
FC,9,11,0,161,30,14.63,398,40.45,0,0,17,1,21,0,Matthew Cross Career Stats,Scotland,Right hand Bat,Wicketkeeper Batter
List A,117,108,5,2488,114,24.15,3417,72.81,2,13,235,30,144,14,Matthew Cross Career Stats,Scotland,Right hand Bat,Wicketkeeper Batter
T20s,72,59,11,1135,66*,23.64,966,117.49,0,5,115,27,47,17,Matthew Cross Career Stats,Scotland,Right hand Bat,Wicketkeeper Batter
ODIs,112,106,12,2928,127,31.14,3928,74.54,4,18,198,65,38,0,Richie Berrington Career Stats,Scotland,Right hand Bat,Top order Batter
T20Is,85,77,15,2032,100,32.77,1534,132.46,1,10,176,69,18,0,Richie Berrington Career Stats,Scotland,Right hand Bat,Top order Batter
FC,20,32,3,844,129,29.1,1968,42.88,2,4,97,6,15,0,Richie Berrington Career Stats,Scotland,Right hand Bat,Top order Batter
List A,179,164,16,4465,127,30.16,5928,75.32,6,26,317,89,58,0,Richie Berrington Career Stats,Scotland,Right hand Bat,Top order Batter
T20s,107,98,18,2568,100,32.1,1973,130.15,1,14,227,82,24,0,Richie Berrington Career Stats,Scotland,Right hand Bat,Top order Batter
ODIs,88,86,7,3026,175,38.3,3756,80.56,10,13,312,35,53,0,Calum MacLeod Career Stats,Scotland,"Cloudy, Highlander, Scot","Right arm Medium fast, Right arm Offbreak"
T20Is,64,61,9,1238,74,23.8,1115,111.03,0,7,107,23,38,0,Calum MacLeod Career Stats,Scotland,"Cloudy, Highlander, Scot","Right arm Medium fast, Right arm Offbreak"
FC,28,41,6,904,84,25.82,1852,48.81,0,5,108,4,20,0,Calum MacLeod Career Stats,Scotland,"Cloudy, Highlander, Scot","Right arm Medium fast, Right arm Offbreak"
List A,161,152,12,4330,175,30.92,5441,79.58,11,19,447,43,83,0,Calum MacLeod Career Stats,Scotland,"Cloudy, Highlander, Scot","Right arm Medium fast, Right arm Offbreak"
T20s,137,133,16,3172,104*,27.11,2637,120.28,2,15,311,68,80,0,Calum MacLeod Career Stats,Scotland,"Cloudy, Highlander, Scot","Right arm Medium fast, Right arm Offbreak"
ODIs,69,57,11,1268,107*,27.56,1114,113.82,1,7,100,57,30,0,Michael Leask Career Stats,Scotland,Right hand Bat,Allrounder
T20Is,54,43,7,578,58,16.05,438,131.96,0,1,45,27,25,0,Michael Leask Career Stats,Scotland,Right hand Bat,Allrounder
FC,2,3,0,95,58,31.66,118,80.5,0,1,14,2,4,0,Michael Leask Career Stats,Scotland,Right hand Bat,Allrounder
List A,92,72,12,1415,107*,23.58,1255,112.74,1,7,111,63,34,0,Michael Leask Career Stats,Scotland,Right hand Bat,Allrounder
T20s,72,57,9,711,58,14.81,537,132.4,0,1,55,35,32,0,Michael Leask Career Stats,Scotland,Right hand Bat,Allrounder
ODIs,23,19,4,333,56*,22.2,370,90.0,0,2,30,7,8,0,Chris Greaves Career Stats,Scotland,Right hand Bat,Bowler
T20Is,20,15,6,233,45,25.88,206,113.1,0,0,20,6,10,0,Chris Greaves Career Stats,Scotland,Right hand Bat,Bowler
List A,23,19,4,333,56*,22.2,370,90.0,0,2,30,7,8,0,Chris Greaves Career Stats,Scotland,Right hand Bat,Bowler
T20s,20,15,6,233,45,25.88,206,113.1,0,0,20,6,10,0,Chris Greaves Career Stats,Scotland,Right hand Bat,Bowler
ODIs,31,28,6,497,64,22.59,742,66.98,0,2,45,2,10,0,Josh Davey Career Stats,Scotland,Wavey,Right arm Medium fast
T20Is,31,16,8,115,24,14.37,88,130.68,0,0,7,4,15,0,Josh Davey Career Stats,Scotland,Wavey,Right arm Medium fast
FC,66,99,26,1483,75*,20.31,3257,45.53,0,5,199,9,20,0,Josh Davey Career Stats,Scotland,Wavey,Right arm Medium fast
List A,93,72,17,1280,91,23.27,1885,67.9,0,6,104,5,27,0,Josh Davey Career Stats,Scotland,Wavey,Right arm Medium fast
T20s,87,43,27,338,24,21.12,255,132.54,0,0,27,9,39,0,Josh Davey Career Stats,Scotland,Wavey,Right arm Medium fast
Tests,18,32,3,949,210*,32.72,1550,61.22,2,2,117,16,10,0,Kyle Mayers Career Stats,Indies,Left hand Bat,Batting Allrounder
ODIs,28,26,0,660,120,25.38,775,85.16,2,2,75,21,10,0,Kyle Mayers Career Stats,Indies,Left hand Bat,Batting Allrounder
T20Is,33,32,1,614,73,19.8,446,137.66,0,3,60,39,10,0,Kyle Mayers Career Stats,Indies,Left hand Bat,Batting Allrounder
FC,51,87,7,2393,210*,29.91,3697,64.72,4,14,285,47,29,0,Kyle Mayers Career Stats,Indies,Left hand Bat,Batting Allrounder
List A,90,81,12,1928,120,27.94,-,-,4,7,-,-,30,0,Kyle Mayers Career Stats,Indies,Left hand Bat,Batting Allrounder
T20s,142,134,14,2531,85,21.09,1975,128.15,0,13,220,147,40,0,Kyle Mayers Career Stats,Indies,Left hand Bat,Batting Allrounder
ODIs,58,58,0,1537,130,26.5,1803,85.24,2,7,172,44,25,2,Johnson Charles Career Stats,Indies,Right hand Bat,Wicketkeeper Batter
T20Is,45,44,0,1015,118,23.06,787,128.97,1,4,105,47,15,2,Johnson Charles Career Stats,Indies,Right hand Bat,Wicketkeeper Batter
FC,35,65,6,1227,151,20.79,-,-,1,3,-,-,61,0,Johnson Charles Career Stats,Indies,Right hand Bat,Wicketkeeper Batter
List A,120,120,0,2921,177,24.34,-,-,3,13,-,-,50,5,Johnson Charles Career Stats,Indies,Right hand Bat,Wicketkeeper Batter
T20s,237,231,9,5889,118,26.52,4525,130.14,3,33,560,274,85,7,Johnson Charles Career Stats,Indies,Right hand Bat,Wicketkeeper Batter
ODIs,57,54,4,1847,176*,36.94,2226,82.97,4,10,185,52,20,0,Evin Lewis Career Stats,Indies,Left hand Bat,NotAvailable
T20Is,53,52,3,1465,125*,29.89,964,151.97,2,10,108,111,15,0,Evin Lewis Career Stats,Indies,Left hand Bat,NotAvailable
FC,22,42,2,1229,104,30.72,-,-,1,8,-,-,18,0,Evin Lewis Career Stats,Indies,Left hand Bat,NotAvailable
List A,101,96,6,3259,176*,36.21,-,-,7,19,-,-,48,0,Evin Lewis Career Stats,Indies,Left hand Bat,NotAvailable
T20s,217,210,14,5851,125*,29.85,4069,143.79,5,39,476,399,66,0,Evin Lewis Career Stats,Indies,Left hand Bat,NotAvailable
ODIs,37,37,2,1054,112,30.11,1254,84.05,2,6,122,24,11,0,Brandon King Career Stats,Indies,Right hand Bat,NotAvailable
T20Is,45,43,4,1092,85*,28.0,829,131.72,0,8,118,44,18,0,Brandon King Career Stats,Indies,Right hand Bat,NotAvailable
FC,35,64,3,2132,194,34.95,3475,61.35,3,14,250,63,30,0,Brandon King Career Stats,Indies,Right hand Bat,NotAvailable
List A,73,73,3,2037,112,29.1,2562,79.5,2,10,208,49,30,0,Brandon King Career Stats,Indies,Right hand Bat,NotAvailable
T20s,123,116,13,2939,132*,28.53,2212,132.86,2,19,294,143,44,0,Brandon King Career Stats,Indies,Right hand Bat,NotAvailable
ODIs,61,58,8,1983,118,39.66,2000,99.15,3,11,157,80,23,2,Nicholas Pooran Career Stats,Indies,Left hand Bat,Wicketkeeper
T20Is,85,77,8,1811,82,26.24,1342,134.94,0,11,127,110,46,7,Nicholas Pooran Career Stats,Indies,Left hand Bat,Wicketkeeper
FC,5,10,0,319,69,31.9,473,67.44,0,2,39,10,2,2,Nicholas Pooran Career Stats,Indies,Left hand Bat,Wicketkeeper
List A,98,91,17,3048,118,41.18,-,-,4,17,-,-,52,2,Nicholas Pooran Career Stats,Indies,Left hand Bat,Wicketkeeper
T20s,297,274,40,6010,102*,25.68,4153,144.71,2,33,389,412,160,25,Nicholas Pooran Career Stats,Indies,Left hand Bat,Wicketkeeper
ODIs,51,48,3,979,101,21.75,1153,84.9,1,2,63,42,16,0,Rovman Powell Career Stats,Indies,Right hand Bat,Middle order Batter
T20Is,68,58,11,1214,107,25.82,851,142.65,1,5,69,81,32,0,Rovman Powell Career Stats,Indies,Right hand Bat,Middle order Batter
FC,13,25,1,383,71,15.95,714,53.64,0,1,36,11,6,0,Rovman Powell Career Stats,Indies,Right hand Bat,Middle order Batter
List A,119,115,12,3164,106,30.71,3162,100.06,4,17,190,170,44,0,Rovman Powell Career Stats,Indies,Right hand Bat,Middle order Batter
T20s,186,169,34,3381,107,25.04,2427,139.3,1,14,193,234,95,0,Rovman Powell Career Stats,Indies,Right hand Bat,Middle order Batter
ODIs,9,8,1,199,46,28.42,119,167.22,0,0,14,15,1,0,Odean Smith Career Stats,Indies,Right hand Bat,Bowling Allrounder
T20Is,27,20,7,193,27*,14.84,138,139.85,0,0,13,12,12,0,Odean Smith Career Stats,Indies,Right hand Bat,Bowling Allrounder
FC,14,23,1,440,54,20.0,431,102.08,0,1,37,26,12,0,Odean Smith Career Stats,Indies,Right hand Bat,Bowling Allrounder
List A,51,44,15,788,68*,27.17,664,118.67,0,2,50,53,21,0,Odean Smith Career Stats,Indies,Right hand Bat,Bowling Allrounder
T20s,93,65,25,721,44,18.02,534,135.01,0,0,47,54,32,0,Odean Smith Career Stats,Indies,Right hand Bat,Bowling Allrounder
ODIs,45,45,0,1197,119,26.6,1280,93.51,1,6,108,62,22,0,Muhammad Waseem Career Stats,U.A.E.,Right hand Bat,Opening Batter
T20Is,41,41,2,1549,112,39.71,1012,153.06,2,11,125,100,30,0,Muhammad Waseem Career Stats,U.A.E.,Right hand Bat,Opening Batter
List A,45,45,0,1197,119,26.6,1280,93.51,1,6,108,62,22,0,Muhammad Waseem Career Stats,U.A.E.,Right hand Bat,Opening Batter
T20s,41,41,2,1549,112,39.71,1012,153.06,2,11,125,100,30,0,Muhammad Waseem Career Stats,U.A.E.,Right hand Bat,Opening Batter
ODIs,55,55,3,1693,115*,32.55,2391,70.8,2,8,171,15,34,9,Vriitya Aravind Career Stats,U.A.E.,Right hand Bat,NotAvailable
T20Is,45,40,4,980,97*,27.22,863,113.55,0,5,98,22,24,5,Vriitya Aravind Career Stats,U.A.E.,Right hand Bat,NotAvailable
List A,55,55,3,1693,115*,32.55,2391,70.8,2,8,171,15,34,9,Vriitya Aravind Career Stats,U.A.E.,Right hand Bat,NotAvailable
T20s,45,40,4,980,97*,27.22,863,113.55,0,5,98,22,24,5,Vriitya Aravind Career Stats,U.A.E.,Right hand Bat,NotAvailable
ODIs,41,39,6,930,109,28.18,1607,57.87,1,4,66,2,9,0,Chundangapoyil Rizwan Career Stats,U.A.E.,Right hand Bat,Middle order Batter
T20Is,18,16,3,323,51*,24.84,295,109.49,0,1,25,6,4,0,Chundangapoyil Rizwan Career Stats,U.A.E.,Right hand Bat,Middle order Batter
List A,41,39,6,930,109,28.18,1607,57.87,1,4,66,2,9,0,Chundangapoyil Rizwan Career Stats,U.A.E.,Right hand Bat,Middle order Batter
T20s,18,16,3,323,51*,24.84,295,109.49,0,1,25,6,4,0,Chundangapoyil Rizwan Career Stats,U.A.E.,Right hand Bat,Middle order Batter
ODIs,14,12,0,167,35,13.91,262,63.74,0,0,14,1,8,0,Alishan Sharafu Career Stats,U.A.E.,Right hand Bat,Opening Batter
T20Is,18,15,3,216,34,18.0,191,113.08,0,0,19,8,8,0,Alishan Sharafu Career Stats,U.A.E.,Right hand Bat,Opening Batter
List A,14,12,0,167,35,13.91,262,63.74,0,0,14,1,8,0,Alishan Sharafu Career Stats,U.A.E.,Right hand Bat,Opening Batter
T20s,18,15,3,216,34,18.0,191,113.08,0,0,19,8,8,0,Alishan Sharafu Career Stats,U.A.E.,Right hand Bat,Opening Batter
ODIs,37,34,1,817,63*,24.75,1119,73.01,0,3,58,19,15,0,Basil Hameed Career Stats,U.A.E.,Right hand Bat,Middle order Batter
T20Is,45,40,13,624,51,23.11,500,124.8,0,2,31,31,21,0,Basil Hameed Career Stats,U.A.E.,Right hand Bat,Middle order Batter
List A,37,34,1,817,63*,24.75,1119,73.01,0,3,58,19,15,0,Basil Hameed Career Stats,U.A.E.,Right hand Bat,Middle order Batter
T20s,45,40,13,624,51,23.11,500,124.8,0,2,31,31,21,0,Basil Hameed Career Stats,U.A.E.,Right hand Bat,Middle order Batter
Tests,13,24,0,553,111,23.04,1255,44.06,1,3,73,4,12,0,Shamarh Brooks Career Stats,Indies,Right hand Bat,Top order Batter
ODIs,29,29,1,842,101*,30.07,1114,75.58,1,4,69,16,14,0,Shamarh Brooks Career Stats,Indies,Right hand Bat,Top order Batter
T20Is,13,12,1,218,56*,19.81,212,102.83,0,1,15,11,7,0,Shamarh Brooks Career Stats,Indies,Right hand Bat,Top order Batter
FC,99,169,13,4659,166,29.86,-,-,7,27,-,-,91,0,Shamarh Brooks Career Stats,Indies,Right hand Bat,Top order Batter
List A,77,72,4,2014,101*,29.61,-,-,1,12,-,-,38,0,Shamarh Brooks Career Stats,Indies,Right hand Bat,Top order Batter
T20s,67,60,6,1231,109*,22.79,1014,121.40,1,3,88,53,41,0,Shamarh Brooks Career Stats,Indies,Right hand Bat,Top order Batter
